Material compositions joined,NdUnfilled_min_value,MendeleevNumber_composition_average,MeltingT_difference,AtomicVolume_difference,MendeleevNumber_max_value,valence_max_value,BCCenergy_pa_max_value,HeatVaporization_max_value,HeatFusion_difference,ThermalExpansionCoefficient_difference,MiracleRadius_min_value,NdUnfilled_composition_average,ICSDVolume_min_value,HeatFusion_max_value
AgAg,-0.8555,0.5841,-1.2718,-1.0479,-0.1756,-1.8341,0.9287,-1.4129,-1.0995,-0.7904,0.8746,-1.2566,0.6583,-1.078
AgCo,0.2021,0.2628,-0.5617,-0.1329,-0.1756,-1.1975,0.9287,-0.544,-0.7074,-0.368,-0.7305,-0.4932,-0.8996,-0.7337
AgCr,0.9072,-0.1502,-0.0129,-0.298,-0.1756,0.7125,0.9287,-0.7834,-0.3234,0.2118,-0.3082,0.0158,-0.6619,-0.3965
AgCu,-0.8555,0.5382,-1.1081,-0.2584,-0.1756,-1.8341,0.9287,-1.0597,-0.9154,-0.6186,-0.6461,-1.2566,-0.7148,-0.9164
AgFe,0.5546,0.1251,-0.5044,-0.2505,-0.1756,0.7125,0.9287,-0.7126,-0.8986,-0.2821,-0.7305,-0.2387,-0.7412,-0.9016
AgMn,0.9072,-0.0125,-0.8934,-0.316,-0.1756,1.3491,0.9287,-1.4129,-0.9706,-0.5899,-0.1392,0.0158,-0.6091,-0.9649
AgNi,-0.1505,0.4005,-0.615,-0.1247,-0.1756,-1.1975,0.9287,-0.5142,-0.605,-0.3967,-0.6461,-0.7476,-0.9788,-0.6438
AgSc,2.3173,-1.8941,-0.5004,0.1461,-0.1756,-1.1975,0.9287,-1.0292,-0.8754,-0.1533,0.8746,1.0337,0.6583,-0.8812
AgTi,1.9648,-0.4256,-0.3313,-0.9635,-0.1756,-0.5608,0.9287,-0.1763,-0.8714,-0.0531,0.7056,0.7792,0.6583,-0.8777
AgV,1.6122,-0.2879,-0.0089,-0.5617,-0.1756,0.0758,0.9287,-0.024,-0.2834,-0.0387,0.0298,0.5247,-0.1867,-0.3613
AgZn,-0.8555,0.7676,-0.5495,-0.7665,0.2271,-1.8341,0.9287,-1.4129,-0.7609,0.0185,0.5366,-1.2566,0.1566,-1.078
