timestamp, utilization.gpu [%], memory.used [MiB]
2026/07/05 16:35:27.398, 0 %, 19624 MiB
2026/07/05 16:35:32.402, 3 %, 19624 MiB
2026/07/05 16:35:37.406, 0 %, 19624 MiB
2026/07/05 16:35:42.426, 0 %, 20200 MiB
2026/07/05 16:35:47.437, 31 %, 21655 MiB
2026/07/05 16:35:52.441, 41 %, 21666 MiB
2026/07/05 16:35:57.455, 23 %, 21954 MiB
2026/07/05 16:36:02.458, 27 %, 21740 MiB
2026/07/05 16:36:07.467, 1 %, 19624 MiB
2026/07/05 16:36:12.480, 0 %, 19624 MiB
2026/07/05 16:36:17.486, 0 %, 19624 MiB
2026/07/05 16:36:22.503, 0 %, 19624 MiB
2026/07/05 16:36:27.508, 1 %, 19624 MiB
2026/07/05 16:36:32.513, 1 %, 19624 MiB
